epoch,time(s),train_loss,test_loss,test_error(%)
001,00045,1.339101,1.37252,49.30
002,00044,1.125159,1.11096,39.55
003,00044,0.928146,1.16941,39.85
004,00045,0.851870,0.86123,30.17
005,00044,0.694584,0.84370,28.94
006,00045,0.617585,1.12891,33.68
007,00046,0.596932,0.63893,21.86
008,00046,0.559718,0.64568,21.58
009,00044,0.523641,0.70670,23.99
010,00044,0.507666,0.67353,22.64
011,00046,0.486980,0.58427,19.38
012,00044,0.432281,0.59110,20.18
013,00045,0.394320,0.60176,20.04
014,00045,0.359583,0.64310,19.99
015,00047,0.363810,0.56271,18.29
016,00045,0.349145,0.83036,24.88
017,00045,0.292844,0.52097,16.39
018,00044,0.314500,0.52524,16.56
019,00046,0.340100,0.54201,17.53
020,00044,0.292375,0.44301,14.35
021,00045,0.312063,0.51933,16.93
022,00044,0.306046,0.42384,13.86
023,00045,0.316520,0.45287,14.39
024,00044,0.314946,0.46290,14.59
025,00044,0.261734,0.44902,13.97
026,00044,0.281538,0.54667,16.41
027,00044,0.282906,0.43473,13.91
028,00044,0.249704,0.44060,14.04
029,00044,0.284188,0.44516,14.47
030,00044,0.271024,0.44954,14.13
031,00044,0.255405,0.45390,13.83
032,00045,0.229404,0.40930,12.88
033,00045,0.234964,0.60696,17.63
034,00045,0.263144,0.36788,11.77
035,00045,0.230251,0.39787,12.84
036,00045,0.185199,0.55901,16.38
037,00045,0.247317,0.51628,15.65
038,00046,0.202040,0.43486,13.88
039,00045,0.254572,0.45701,13.16
040,00045,0.256071,0.41372,13.20
041,00055,0.287787,0.50781,14.77
042,00054,0.232025,0.39345,12.01
043,00054,0.281958,0.37470,11.66
044,00054,0.254332,0.39913,12.42
045,00053,0.260510,0.46436,14.00
046,00054,0.241279,0.43987,13.53
047,00053,0.227741,0.57928,16.75
048,00053,0.247485,0.38880,12.15
049,00053,0.223630,0.44500,12.78
050,00054,0.231848,0.38515,11.69
051,00054,0.132650,0.27396,8.60
052,00053,0.140866,0.25981,8.17
053,00054,0.105041,0.25253,7.95
054,00054,0.125699,0.24823,7.86
055,00055,0.109568,0.24546,7.67
056,00053,0.116425,0.24341,7.67
057,00055,0.102706,0.24231,7.36
058,00055,0.090397,0.24122,7.37
059,00055,0.095219,0.24065,7.44
060,00055,0.097443,0.23931,7.42
061,00055,0.109101,0.24073,7.42
062,00054,0.101057,0.23934,7.33
063,00054,0.130601,0.23822,7.37
064,00054,0.103610,0.24045,7.32
065,00054,0.088744,0.24220,7.31
066,00054,0.096271,0.23948,7.32
067,00054,0.095572,0.24115,7.27
068,00053,0.089896,0.24024,7.26
069,00054,0.075758,0.24196,7.22
070,00054,0.115000,0.24292,7.18
071,00054,0.090117,0.24266,7.24
072,00056,0.086175,0.24165,7.17
073,00054,0.085036,0.24323,7.13
074,00055,0.076639,0.24394,7.12
075,00054,0.076382,0.24421,7.08
076,00053,0.097381,0.24436,7.10
077,00053,0.068791,0.24340,7.24
078,00054,0.093064,0.24188,7.11
079,00053,0.098026,0.24630,7.08
080,00053,0.087350,0.24409,7.12
081,00053,0.085420,0.24300,7.09
082,00053,0.085010,0.24358,7.02
083,00054,0.078633,0.24184,7.05
084,00054,0.077482,0.24441,7.07
085,00056,0.077609,0.24248,7.18
086,00056,0.094282,0.24552,7.07
087,00054,0.079528,0.24428,7.13
088,00056,0.086989,0.24434,7.13
089,00055,0.086830,0.24360,7.08
090,00055,0.080733,0.24209,7.03
091,00053,0.075104,0.24171,7.12
092,00056,0.075647,0.24419,7.08
093,00055,0.080558,0.24297,7.08
094,00056,0.071106,0.24499,7.15
095,00056,0.072161,0.24129,7.13
096,00053,0.079149,0.24375,7.10
097,00055,0.084974,0.24240,7.15
098,00055,0.083762,0.24343,7.06
099,00054,0.081100,0.24485,7.15
100,00054,0.081776,0.24364,7.13
