epoch,time(s),train_loss,test_loss,test_error(%)
001,00038,0.467705,0.53672,19.38
002,00037,0.359556,0.42533,15.10
003,00037,0.269889,0.34825,12.45
004,00037,0.296075,0.31320,11.36
005,00037,0.220420,0.35253,12.79
006,00037,0.239519,0.24434,8.86
007,00037,0.202846,0.30544,10.64
008,00037,0.204100,0.32049,11.81
009,00037,0.176209,0.29115,10.12
010,00037,0.174096,0.25419,9.03
011,00037,0.176339,0.24885,8.44
012,00037,0.167988,0.37591,12.89
013,00037,0.144902,0.27253,9.33
014,00037,0.141688,0.25640,8.55
015,00037,0.118286,0.29429,9.38
016,00037,0.110452,0.30681,10.41
017,00037,0.114096,0.32332,9.79
018,00037,0.146188,0.29528,9.78
019,00037,0.118761,0.29645,9.71
020,00037,0.115381,0.26314,8.73
021,00037,0.141089,0.27879,8.65
022,00037,0.118941,0.27318,9.21
023,00037,0.174144,0.35987,11.91
024,00037,0.137698,0.28229,9.41
025,00037,0.101225,0.25839,8.08
026,00037,0.094659,0.30592,9.06
027,00037,0.091210,0.26932,8.15
028,00037,0.109899,0.25614,7.79
029,00037,0.108593,0.32076,8.97
030,00037,0.080665,0.29041,8.66
031,00037,0.092075,0.30984,9.35
032,00037,0.082102,0.28081,8.28
033,00037,0.105637,0.27906,8.36
034,00037,0.107676,0.29371,9.28
035,00037,0.088744,0.27949,8.74
036,00037,0.083084,0.24643,7.12
037,00037,0.084055,0.29145,8.67
038,00037,0.101838,0.29596,8.71
039,00037,0.073402,0.25303,7.46
040,00037,0.080580,0.28422,8.83
041,00047,0.129379,0.42601,11.42
042,00044,0.113740,0.30714,8.95
043,00044,0.122820,0.30028,8.75
044,00044,0.086368,0.34749,9.15
045,00044,0.125225,0.29431,8.90
046,00044,0.100662,0.30423,9.14
047,00044,0.107342,0.45273,12.70
048,00044,0.111740,0.34712,9.71
049,00044,0.100692,0.34113,9.14
050,00044,0.120646,0.30007,8.84
051,00044,0.062785,0.23871,7.21
052,00044,0.047296,0.23377,6.96
053,00044,0.043809,0.23466,6.99
054,00044,0.047024,0.23554,6.88
055,00044,0.041977,0.23544,6.79
056,00044,0.040612,0.23836,6.71
057,00044,0.036942,0.23919,6.61
058,00044,0.038103,0.24283,6.67
059,00044,0.036432,0.24480,6.65
060,00044,0.031121,0.24871,6.69
061,00044,0.033868,0.25017,6.65
062,00044,0.030736,0.25204,6.64
063,00044,0.029681,0.25266,6.76
064,00044,0.030041,0.25464,6.66
065,00044,0.039642,0.26004,6.62
066,00044,0.028927,0.25781,6.69
067,00044,0.028330,0.26250,6.67
068,00044,0.028348,0.26240,6.65
069,00044,0.026750,0.26558,6.59
070,00044,0.028062,0.26547,6.83
071,00044,0.027019,0.26715,6.67
072,00044,0.026096,0.27091,6.64
073,00044,0.027874,0.27086,6.66
074,00044,0.026077,0.27231,6.74
075,00044,0.026713,0.27371,6.73
076,00044,0.027519,0.27462,6.62
077,00044,0.026134,0.27472,6.71
078,00044,0.026586,0.27465,6.65
079,00044,0.025734,0.27678,6.64
080,00044,0.026402,0.27468,6.67
081,00044,0.026224,0.27497,6.75
082,00044,0.026667,0.27618,6.67
083,00044,0.027253,0.27429,6.70
084,00044,0.027335,0.27741,6.67
085,00044,0.028816,0.27320,6.67
086,00044,0.025975,0.27529,6.58
087,00044,0.026408,0.27418,6.62
088,00044,0.026369,0.27441,6.74
089,00044,0.026570,0.27387,6.67
090,00044,0.026376,0.27575,6.70
091,00044,0.025350,0.27491,6.67
092,00044,0.026190,0.27507,6.70
093,00044,0.025449,0.27333,6.75
094,00044,0.025588,0.27634,6.71
095,00044,0.026710,0.27630,6.65
096,00044,0.026441,0.27303,6.66
097,00044,0.027860,0.27427,6.71
098,00044,0.026524,0.27352,6.76
099,00044,0.026337,0.27421,6.73
100,00044,0.026207,0.27436,6.67
