epoch,time(s),train_loss,test_loss,test_error(%)
001,00045,0.085593,0.08476,2.74
002,00044,0.034710,0.08157,2.70
003,00044,0.032751,0.06280,2.04
004,00044,0.036751,0.05824,1.76
005,00044,0.039934,0.03674,1.27
006,00044,0.028141,0.02934,0.86
007,00044,0.014870,0.03405,1.07
008,00044,0.017374,0.09139,2.78
009,00044,0.014109,0.03436,1.03
010,00044,0.007804,0.02977,0.90
011,00044,0.017044,0.04128,1.19
012,00044,0.012025,0.02299,0.83
013,00044,0.016299,0.02716,0.89
014,00044,0.016953,0.03765,1.24
015,00044,0.007216,0.02408,0.81
016,00044,0.011851,0.03373,1.05
017,00044,0.013895,0.04017,0.98
018,00044,0.019168,0.07391,1.99
019,00044,0.021232,0.10044,2.78
020,00044,0.016666,0.02300,0.78
021,00044,0.022721,0.03912,1.16
022,00044,0.005169,0.02833,0.82
023,00044,0.019582,0.03625,1.10
024,00044,0.006089,0.03740,0.96
025,00044,0.015198,0.03319,0.97
026,00044,0.013405,0.05383,1.88
027,00044,0.009987,0.03998,1.02
028,00044,0.020946,0.03059,0.99
029,00044,0.016829,0.02556,0.76
030,00044,0.013214,0.03351,1.07
031,00044,0.008639,0.05580,1.53
032,00044,0.012564,0.03827,1.20
033,00044,0.014405,0.02512,0.66
034,00044,0.009624,0.02566,0.83
035,00044,0.011289,0.02711,0.87
036,00044,0.018286,0.04770,1.38
037,00044,0.004537,0.02972,0.87
038,00044,0.015159,0.02213,0.63
039,00044,0.016249,0.03474,0.89
040,00044,0.009148,0.03773,1.06
041,00055,0.048197,0.03223,0.92
042,00055,0.053295,0.04852,1.35
043,00054,0.043307,0.04476,1.26
044,00054,0.034321,0.02957,0.87
045,00055,0.043742,0.03113,0.96
046,00054,0.040912,0.01927,0.65
047,00054,0.040188,0.03217,0.86
048,00054,0.036454,0.02928,1.01
049,00055,0.039043,0.02605,0.84
050,00054,0.034820,0.02547,0.83
051,00055,0.029899,0.01546,0.56
052,00054,0.032743,0.01417,0.53
053,00054,0.029930,0.01361,0.47
054,00054,0.030622,0.01313,0.46
055,00054,0.028673,0.01270,0.47
056,00054,0.029129,0.01218,0.42
057,00054,0.030365,0.01240,0.42
058,00054,0.028222,0.01202,0.46
059,00054,0.028821,0.01200,0.44
060,00054,0.028992,0.01171,0.42
061,00054,0.029332,0.01146,0.43
062,00054,0.028149,0.01146,0.44
063,00054,0.028859,0.01156,0.43
064,00054,0.028647,0.01145,0.37
065,00054,0.028121,0.01160,0.40
066,00054,0.028175,0.01174,0.38
067,00054,0.028437,0.01139,0.38
068,00055,0.027784,0.01113,0.37
069,00055,0.029325,0.01102,0.38
070,00055,0.028147,0.01137,0.37
071,00054,0.027717,0.01072,0.35
072,00054,0.027702,0.01091,0.39
073,00054,0.027783,0.01089,0.35
074,00054,0.027865,0.01056,0.33
075,00054,0.028189,0.01085,0.37
076,00054,0.029245,0.01083,0.36
077,00054,0.027855,0.01101,0.33
078,00054,0.027656,0.01099,0.35
079,00054,0.027582,0.01086,0.36
080,00054,0.028392,0.01087,0.35
081,00054,0.027867,0.01091,0.35
082,00054,0.027646,0.01078,0.38
083,00054,0.027878,0.01096,0.35
084,00054,0.027620,0.01105,0.35
085,00054,0.028963,0.01098,0.35
086,00054,0.027570,0.01096,0.34
087,00054,0.029209,0.01088,0.35
088,00055,0.027868,0.01106,0.36
089,00055,0.029685,0.01081,0.33
090,00055,0.027867,0.01103,0.37
091,00055,0.028243,0.01119,0.39
092,00055,0.028540,0.01095,0.38
093,00055,0.027553,0.01075,0.35
094,00055,0.027637,0.01081,0.34
095,00055,0.029022,0.01101,0.35
096,00055,0.027699,0.01106,0.41
097,00055,0.028690,0.01075,0.35
098,00055,0.027636,0.01067,0.37
099,00055,0.027882,0.01093,0.33
100,00055,0.028112,0.01062,0.35
