epoch,time(s),train_loss,test_loss,test_error(%)
001,00036,0.089711,0.08543,2.71
002,00035,0.033116,0.03759,1.32
003,00036,0.050048,0.05573,1.72
004,00035,0.017434,0.02231,0.76
005,00037,0.008588,0.02079,0.67
006,00036,0.007840,0.02698,0.95
007,00035,0.012341,0.03154,0.92
008,00035,0.008147,0.03345,0.97
009,00035,0.004881,0.02576,0.90
010,00035,0.005944,0.02597,0.84
011,00035,0.004446,0.02893,0.91
012,00036,0.007053,0.01754,0.56
013,00036,0.002910,0.02384,0.80
014,00035,0.002788,0.02255,0.64
015,00036,0.006280,0.02262,0.72
016,00035,0.010470,0.02781,0.90
017,00037,0.007031,0.01872,0.61
018,00037,0.006704,0.02837,0.77
019,00037,0.006172,0.02974,0.84
020,00035,0.010210,0.02432,0.76
021,00035,0.005791,0.01520,0.52
022,00035,0.001600,0.01609,0.51
023,00037,0.004974,0.01886,0.56
024,00037,0.010099,0.01836,0.56
025,00035,0.005495,0.03823,1.11
026,00035,0.012627,0.02469,0.81
027,00035,0.006258,0.02715,0.85
028,00035,0.004400,0.02160,0.74
029,00035,0.006145,0.01962,0.65
030,00037,0.007354,0.02553,0.77
031,00035,0.017663,0.05094,1.41
032,00035,0.011171,0.01686,0.61
033,00035,0.003311,0.02096,0.70
034,00035,0.005834,0.02181,0.72
035,00035,0.010084,0.03176,0.94
036,00035,0.008427,0.04312,1.37
037,00036,0.008358,0.02023,0.66
038,00035,0.005404,0.01778,0.50
039,00035,0.004072,0.01140,0.32
040,00037,0.005129,0.02807,0.81
041,00043,0.032150,0.02310,0.85
042,00042,0.039868,0.03380,1.06
043,00042,0.038107,0.02567,0.79
044,00043,0.029992,0.02290,0.67
045,00042,0.031897,0.01701,0.51
046,00042,0.031852,0.01804,0.50
047,00043,0.044475,0.02528,0.86
048,00043,0.028284,0.03813,1.16
049,00043,0.026647,0.01644,0.50
050,00042,0.034673,0.05848,1.83
051,00042,0.027894,0.01569,0.54
052,00044,0.030352,0.01293,0.46
053,00042,0.026380,0.01224,0.40
054,00042,0.025398,0.01161,0.41
055,00045,0.025658,0.01118,0.36
056,00045,0.030338,0.01101,0.37
057,00043,0.026001,0.00997,0.29
058,00042,0.025996,0.00954,0.29
059,00045,0.026523,0.00971,0.27
060,00042,0.025354,0.00971,0.29
061,00044,0.027235,0.00932,0.29
062,00042,0.025953,0.00963,0.27
063,00043,0.025660,0.00919,0.27
064,00043,0.025921,0.00914,0.29
065,00042,0.025572,0.00894,0.27
066,00042,0.025391,0.00936,0.27
067,00043,0.025614,0.00935,0.25
068,00042,0.025296,0.00881,0.26
069,00043,0.025231,0.00866,0.26
070,00043,0.025322,0.00909,0.27
071,00043,0.025407,0.00929,0.25
072,00045,0.025096,0.00887,0.26
073,00043,0.025933,0.00882,0.26
074,00044,0.025717,0.00868,0.22
075,00044,0.025435,0.00862,0.26
076,00043,0.024981,0.00868,0.25
077,00044,0.025837,0.00910,0.27
078,00043,0.025455,0.00896,0.29
079,00043,0.025309,0.00872,0.27
080,00044,0.024845,0.00868,0.26
081,00044,0.025401,0.00880,0.26
082,00043,0.025651,0.00840,0.26
083,00043,0.024918,0.00863,0.25
084,00043,0.027117,0.00900,0.26
085,00042,0.025323,0.00905,0.26
086,00042,0.025440,0.00897,0.26
087,00044,0.025147,0.00888,0.26
088,00044,0.025382,0.00875,0.27
089,00043,0.025321,0.00900,0.26
090,00043,0.025014,0.00881,0.24
091,00043,0.025154,0.00871,0.26
092,00043,0.025650,0.00874,0.25
093,00043,0.025434,0.00894,0.29
094,00043,0.025219,0.00875,0.26
095,00043,0.026040,0.00852,0.25
096,00043,0.024937,0.00892,0.27
097,00043,0.025419,0.00866,0.26
098,00043,0.025339,0.00855,0.25
099,00043,0.025750,0.00857,0.25
100,00043,0.025844,0.00858,0.27
