epoch,time(s),train_loss,test_loss,test_error(%)
001,00061,0.910481,1.01373,37.58
002,00061,0.378911,0.35589,11.26
003,00060,0.282303,0.23649,6.89
004,00060,0.227364,0.27994,8.68
005,00060,0.171675,0.19969,5.44
006,00060,0.172640,0.18947,5.62
007,00060,0.182812,0.19078,5.33
008,00062,0.159303,0.20991,6.04
009,00061,0.089354,0.19294,5.61
010,00061,0.123953,0.17871,5.08
011,00059,0.156451,0.19844,5.65
012,00059,0.112738,0.19284,5.45
013,00059,0.109305,0.27793,7.24
014,00059,0.088728,0.23258,6.59
015,00059,0.088468,0.18270,4.96
016,00061,0.092389,0.20224,5.44
017,00059,0.131141,0.23289,6.75
018,00060,0.091505,0.18485,5.25
019,00059,0.097937,0.18705,5.05
020,00059,0.088649,0.18740,5.03
021,00059,0.095770,0.18396,5.17
022,00060,0.110924,0.17277,4.72
023,00060,0.083873,0.17299,4.72
024,00059,0.070875,0.18441,5.02
025,00060,0.069308,0.19502,5.47
026,00059,0.109251,0.16655,4.52
027,00059,0.093570,0.18196,5.02
028,00059,0.088807,0.17410,4.66
029,00059,0.076527,0.20206,5.75
030,00059,0.078121,0.21250,5.78
031,00059,0.085788,0.19505,5.29
032,00062,0.096080,0.16836,4.82
033,00059,0.082156,0.17369,4.58
034,00059,0.096408,0.21208,5.85
035,00061,0.082925,0.16153,4.17
036,00062,0.071405,0.17709,4.68
037,00059,0.103890,0.19553,5.27
038,00060,0.090692,0.19563,5.45
039,00062,0.063093,0.19598,4.81
040,00059,0.103017,0.19189,5.08
041,00069,0.126778,0.18474,5.02
042,00069,0.110175,0.18661,5.08
043,00071,0.119213,0.17275,4.49
044,00069,0.094963,0.18109,4.74
045,00069,0.092118,0.21437,5.56
046,00069,0.096990,0.16047,4.20
047,00069,0.112081,0.16027,4.29
048,00069,0.081374,0.18971,4.89
049,00069,0.074974,0.20026,5.34
050,00069,0.103627,0.17238,4.55
051,00069,0.055717,0.14167,3.55
052,00069,0.041608,0.13802,3.47
053,00069,0.041106,0.13838,3.47
054,00069,0.038952,0.13670,3.33
055,00069,0.038896,0.13752,3.35
056,00069,0.045386,0.13897,3.37
057,00069,0.038281,0.13831,3.34
058,00069,0.037652,0.13877,3.34
059,00069,0.035735,0.13871,3.32
060,00069,0.038686,0.13980,3.36
061,00070,0.038159,0.14057,3.39
062,00069,0.039802,0.14136,3.36
063,00069,0.032043,0.14176,3.34
064,00069,0.032948,0.14259,3.31
065,00069,0.034945,0.14362,3.36
066,00069,0.031995,0.14402,3.36
067,00069,0.033413,0.14393,3.34
068,00069,0.036981,0.14515,3.34
069,00069,0.035289,0.14497,3.35
070,00069,0.034380,0.14653,3.33
071,00069,0.036432,0.14600,3.33
072,00070,0.030082,0.14655,3.35
073,00070,0.030860,0.14695,3.37
074,00070,0.029225,0.14754,3.33
075,00069,0.030787,0.14942,3.37
076,00071,0.028914,0.14727,3.33
077,00071,0.031237,0.14683,3.30
078,00069,0.029342,0.14851,3.37
079,00069,0.030936,0.14783,3.30
080,00069,0.036771,0.14709,3.33
081,00069,0.030030,0.14836,3.36
082,00069,0.036873,0.14857,3.35
083,00070,0.031187,0.14868,3.32
084,00070,0.034684,0.14933,3.35
085,00070,0.031648,0.14792,3.36
086,00070,0.029968,0.14869,3.34
087,00070,0.028159,0.14751,3.34
088,00070,0.028383,0.14861,3.36
089,00070,0.029645,0.14861,3.33
090,00070,0.032035,0.14910,3.38
091,00070,0.028868,0.14820,3.33
092,00070,0.029225,0.14710,3.31
093,00070,0.029165,0.14803,3.36
094,00070,0.028923,0.14766,3.33
095,00070,0.028504,0.14773,3.32
096,00070,0.028444,0.14759,3.37
097,00070,0.034086,0.14790,3.35
098,00070,0.029375,0.14772,3.35
099,00070,0.034327,0.14961,3.36
100,00070,0.028309,0.14828,3.36
