epoch,time(s),train_loss,test_loss,test_error(%)
001,00058,1.359831,1.47945,51.64
002,00054,1.176107,1.16958,41.62
003,00054,0.970048,1.25231,41.93
004,00054,0.873972,0.90308,30.63
005,00054,0.727578,0.82661,28.58
006,00054,0.652997,0.80952,27.31
007,00054,0.639289,0.71228,23.62
008,00054,0.551986,0.65643,22.34
009,00054,0.495479,0.63959,21.34
010,00054,0.500222,0.69192,22.80
011,00054,0.493960,0.58344,19.26
012,00054,0.446925,0.62271,20.53
013,00054,0.410420,0.51932,17.03
014,00054,0.385295,0.50663,16.66
015,00054,0.353913,0.58464,18.15
016,00054,0.360007,0.64448,19.99
017,00054,0.296379,0.54515,16.87
018,00054,0.320911,0.52023,16.81
019,00054,0.380048,0.48165,15.52
020,00054,0.276807,0.49447,15.44
021,00054,0.273726,0.54232,17.34
022,00054,0.301354,0.44811,14.10
023,00054,0.329131,0.57863,16.89
024,00054,0.314400,0.50262,16.13
025,00054,0.270172,0.49768,15.93
026,00054,0.260937,0.48298,15.22
027,00054,0.337312,0.39185,12.55
028,00054,0.255593,0.41620,13.05
029,00054,0.304747,0.41995,13.81
030,00054,0.248932,0.50998,15.11
031,00054,0.251064,0.53630,15.90
032,00054,0.228272,0.46123,14.28
033,00054,0.262238,0.46158,14.08
034,00054,0.293349,0.55739,16.54
035,00054,0.211219,0.43216,13.44
036,00054,0.229669,0.53023,14.92
037,00054,0.264666,0.52776,15.45
038,00054,0.195811,0.44973,13.01
039,00054,0.259075,0.50447,14.83
040,00054,0.259428,0.43933,13.83
041,00071,0.276799,0.45771,13.91
042,00071,0.186103,0.42023,12.74
043,00071,0.250061,0.40512,12.95
044,00071,0.240057,0.43998,13.12
045,00071,0.239394,0.37601,11.52
046,00071,0.244717,0.32984,10.70
047,00071,0.242941,0.49713,14.61
048,00071,0.226477,0.34424,11.19
049,00071,0.213916,0.43869,12.91
050,00071,0.220979,0.45136,13.35
051,00071,0.135460,0.27712,8.66
052,00071,0.139864,0.26408,8.21
053,00071,0.128353,0.25870,8.12
054,00071,0.120049,0.25365,7.99
055,00071,0.117867,0.25306,7.96
056,00071,0.111976,0.25093,7.82
057,00071,0.105482,0.25029,7.73
058,00071,0.084104,0.24959,7.70
059,00071,0.111928,0.24821,7.65
060,00071,0.091899,0.24896,7.67
061,00071,0.104818,0.24987,7.59
062,00071,0.087172,0.24827,7.47
063,00071,0.124241,0.24904,7.57
064,00071,0.101015,0.24997,7.49
065,00071,0.094851,0.25089,7.55
066,00071,0.094248,0.24807,7.50
067,00071,0.088730,0.25012,7.55
068,00071,0.109397,0.25056,7.57
069,00071,0.094736,0.25411,7.46
070,00071,0.102921,0.25319,7.42
071,00071,0.106797,0.25503,7.47
072,00071,0.091685,0.25347,7.39
073,00071,0.087284,0.25539,7.39
074,00071,0.076596,0.25556,7.44
075,00071,0.085040,0.25430,7.37
076,00071,0.105296,0.25602,7.41
077,00071,0.062720,0.25506,7.35
078,00071,0.090991,0.25515,7.26
079,00071,0.102011,0.25597,7.44
080,00071,0.080796,0.25628,7.34
081,00071,0.081292,0.25612,7.42
082,00071,0.084702,0.25487,7.40
083,00071,0.074120,0.25286,7.30
084,00071,0.072900,0.25479,7.45
085,00071,0.077675,0.25631,7.24
086,00071,0.084469,0.25543,7.39
087,00071,0.079102,0.25454,7.34
088,00071,0.072275,0.25566,7.35
089,00071,0.083410,0.25593,7.36
090,00071,0.088363,0.25443,7.36
091,00071,0.077759,0.25597,7.33
092,00071,0.081676,0.25811,7.31
093,00071,0.077421,0.25550,7.42
094,00071,0.090758,0.25779,7.33
095,00071,0.064161,0.25581,7.36
096,00071,0.080872,0.25611,7.31
097,00071,0.094785,0.25523,7.31
098,00071,0.067644,0.25641,7.34
099,00071,0.084342,0.25538,7.34
100,00071,0.078223,0.25575,7.34
