epoch,time(s),train_loss,test_loss,test_error(%)
001,00024,1.529025,1.81668,62.10
002,00024,1.262354,1.57346,53.48
003,00024,1.074387,1.14595,40.90
004,00025,0.992332,1.05780,35.74
005,00023,0.914292,1.01220,34.42
006,00024,0.783284,0.95277,32.10
007,00024,0.816167,0.86266,29.77
008,00024,0.692997,1.05683,33.32
009,00024,0.655701,0.82211,27.16
010,00024,0.648410,0.80166,27.16
011,00024,0.543742,0.80790,25.84
012,00024,0.557667,0.75375,24.71
013,00024,0.551174,0.88545,28.10
014,00024,0.488178,0.86272,27.10
015,00023,0.422529,0.96154,28.52
016,00023,0.406598,0.88226,25.26
017,00024,0.371229,0.71855,21.23
018,00024,0.358905,0.95411,26.16
019,00024,0.357732,0.99512,25.23
020,00024,0.372117,1.05372,28.23
021,00024,0.323542,0.77941,22.23
022,00023,0.231959,0.98360,23.77
023,00024,0.223874,0.69871,20.42
024,00024,0.219369,0.71911,21.65
025,00024,0.231936,0.73388,20.13
026,00023,0.189250,0.79855,20.29
027,00023,0.201814,0.81668,20.55
028,00023,0.298946,0.85716,21.42
029,00023,0.164870,0.93748,23.32
030,00024,0.174781,0.94878,22.94
031,00023,0.157465,0.69804,18.71
032,00024,0.193741,1.04298,22.13
033,00024,0.120295,0.88041,21.48
034,00024,0.140644,0.89518,22.13
035,00023,0.172651,0.87159,22.45
036,00023,0.133135,0.85952,21.71
037,00023,0.134774,1.11155,26.26
038,00023,0.123217,0.83778,20.10
039,00023,0.133656,0.91124,21.29
040,00024,0.147199,0.86779,19.94
041,00041,0.188098,0.69460,16.87
042,00024,0.172025,0.93388,20.58
043,00024,0.130596,0.96700,21.87
044,00024,0.136180,0.86467,19.23
045,00024,0.137614,0.94781,22.03
046,00024,0.103862,1.13951,22.94
047,00024,0.171980,1.07422,21.03
048,00024,0.126583,0.92482,21.42
049,00024,0.123390,0.79814,18.68
050,00023,0.116520,0.80903,18.29
051,00024,0.078884,0.66332,16.00
052,00023,0.071962,0.62169,15.32
053,00024,0.074281,0.60918,14.90
054,00024,0.065797,0.60373,15.19
