epoch,time(s),train_loss,test_loss,test_error(%)
001,00056,2.103247,2.08834,76.98
002,00055,1.761897,1.74363,59.41
003,00055,1.501657,1.47910,48.77
004,00055,1.154124,1.11226,32.03
005,00054,0.852901,0.81189,23.95
006,00054,0.683147,0.59751,17.50
007,00055,0.498345,0.47392,12.67
008,00055,0.453150,0.40390,10.66
009,00054,0.338739,0.31682,7.99
010,00054,0.312806,0.29185,7.65
011,00054,0.241049,0.23021,5.95
012,00055,0.221909,0.20295,5.41
013,00055,0.177611,0.19000,5.06
014,00054,0.196336,0.17395,4.72
015,00055,0.145621,0.15865,4.26
016,00054,0.169831,0.15142,4.18
017,00055,0.125527,0.13600,3.77
018,00055,0.098875,0.12423,3.41
019,00055,0.125654,0.11932,3.39
020,00054,0.109772,0.11458,3.23
021,00053,0.100100,0.10664,3.00
022,00054,0.116116,0.10257,2.83
023,00053,0.087699,0.10085,2.89
024,00053,0.068657,0.09738,2.91
025,00054,0.091647,0.09478,2.73
026,00054,0.092491,0.08895,2.51
027,00054,0.060677,0.09052,2.64
028,00054,0.051333,0.08719,2.58
029,00053,0.075496,0.08380,2.47
030,00053,0.068519,0.08262,2.38
031,00054,0.064479,0.07970,2.29
032,00055,0.070247,0.07903,2.32
033,00054,0.072167,0.08142,2.40
034,00054,0.062409,0.07876,2.23
035,00054,0.048682,0.07617,2.29
036,00055,0.047241,0.07401,2.11
037,00054,0.044462,0.07260,2.13
038,00054,0.057004,0.07112,2.14
039,00054,0.054381,0.07011,2.09
040,00055,0.032826,0.07036,2.11
041,00070,0.065687,0.06965,2.14
042,00069,0.082587,0.07187,2.16
043,00070,0.120179,0.07253,2.27
044,00069,0.079462,0.06963,2.01
045,00069,0.077820,0.06768,1.99
046,00069,0.080342,0.06790,2.01
047,00069,0.072795,0.06698,2.01
048,00069,0.067614,0.06555,1.96
049,00069,0.065223,0.06509,1.91
050,00069,0.059592,0.06600,1.98
051,00070,0.060647,0.06432,1.98
052,00070,0.059334,0.06420,2.07
053,00070,0.060549,0.06362,2.04
054,00070,0.056762,0.06429,2.06
055,00070,0.060752,0.06465,1.98
056,00069,0.061233,0.06429,2.02
057,00070,0.071184,0.06404,1.97
058,00069,0.069824,0.06613,2.03
059,00069,0.061581,0.06504,2.08
060,00070,0.070163,0.06383,1.99
061,00070,0.057035,0.06574,2.04
062,00070,0.060665,0.06566,2.03
063,00070,0.062172,0.06458,2.02
064,00069,0.062940,0.06443,2.01
065,00069,0.076374,0.06477,1.98
066,00068,0.084865,0.06455,2.01
067,00068,0.058013,0.06382,1.99
068,00069,0.059558,0.06398,1.98
069,00069,0.058993,0.06382,2.03
070,00069,0.076993,0.06375,1.97
071,00068,0.073267,0.06469,1.98
072,00069,0.072317,0.06403,2.00
073,00069,0.074410,0.06409,2.04
074,00069,0.049587,0.06419,2.00
075,00069,0.076477,0.06565,1.99
076,00070,0.080261,0.06412,2.01
077,00069,0.057706,0.06386,1.98
078,00069,0.057121,0.06396,2.00
079,00069,0.067426,0.06416,2.01
080,00068,0.068748,0.06334,1.98
081,00068,0.062574,0.06351,1.96
082,00070,0.069721,0.06568,2.01
083,00070,0.060000,0.06479,2.04
084,00069,0.060688,0.06463,1.97
085,00069,0.058473,0.06494,1.99
086,00070,0.068651,0.06462,1.98
087,00069,0.083789,0.06379,2.03
088,00070,0.062611,0.06473,2.03
089,00069,0.075749,0.06678,2.06
090,00070,0.085729,0.06550,1.98
091,00069,0.070167,0.06513,2.07
092,00070,0.072178,0.06348,1.99
093,00068,0.073282,0.06385,1.99
094,00069,0.066038,0.06428,2.04
095,00069,0.066933,0.06633,2.03
096,00069,0.075402,0.06345,2.00
097,00069,0.064418,0.06458,1.99
098,00069,0.063797,0.06385,2.00
099,00070,0.074205,0.06367,1.97
100,00070,0.061628,0.06428,2.02
